                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3072,                 4.9435,                 1.3202,                      0,                      0,                      0,                      0,                 1.1184,                 4.9815,                 1.2245,              3.672e-05,              3.672e-05,              3.672e-05
                      2,                 1.2912,                 4.7273,                 1.2882,                      0,                      0,                      0,                      0,                 1.1343,                 4.8957,                  1.235,             7.5106e-05,             7.5106e-05,             7.5106e-05
                      3,                 1.3196,                 4.2178,                 1.2898,                0.05325,                0.08843,                0.06765,                0.04513,                 1.2077,                 4.6289,                 1.2713,             0.00011311,             0.00011311,             0.00011311
                      4,                 1.3415,                  3.675,                 1.2835,                0.62377,                0.10952,                0.15581,                0.11664,                  1.263,                 4.1649,                 1.3154,             0.00015073,             0.00015073,             0.00015073
                      5,                 1.3036,                 3.1877,                 1.2759,                0.09087,                0.33108,                0.22071,                0.16417,                  1.327,                 3.9446,                 1.3606,             0.00018796,             0.00018796,             0.00018796
                      6,                  1.317,                  2.926,                 1.2791,                0.10266,                0.39033,                 0.2356,                0.15745,                 1.3298,                 3.7676,                   1.37,             0.00019895,             0.00019895,             0.00019895
                      7,                 1.2955,                 2.8595,                 1.2865,                0.77118,                0.17795,                0.27097,                0.16578,                 1.3472,                  3.517,                 1.3958,             0.00019794,             0.00019794,             0.00019794
                      8,                 1.2198,                 2.7104,                 1.2687,                0.66942,                0.20064,                0.28201,                0.18334,                 1.3399,                 3.3115,                 1.3835,             0.00019693,             0.00019693,             0.00019693
                      9,                 1.1974,                 2.5541,                 1.2617,                0.65497,                 0.2293,                0.29229,                0.20174,                  1.369,                 3.1512,                  1.372,             0.00019592,             0.00019592,             0.00019592
                     10,                  1.268,                 2.4667,                 1.2429,                0.60843,                0.21483,                0.30664,                0.22143,                 1.3693,                 3.0534,                 1.3531,             0.00019491,             0.00019491,             0.00019491
                     11,                 1.2075,                 2.3252,                 1.2392,                0.54951,                0.22944,                0.31485,                0.22001,                 1.4232,                 3.0387,                 1.4073,              0.0001939,              0.0001939,              0.0001939
                     12,                 1.2351,                 2.3219,                  1.225,                0.49906,                0.22737,                0.32786,                0.20854,                 1.4248,                 3.0242,                 1.4212,             0.00019289,             0.00019289,             0.00019289
                     13,                 1.2448,                  2.253,                 1.2385,                0.48698,                0.21758,                0.32657,                0.20204,                 1.4134,                 3.0805,                 1.4071,             0.00019188,             0.00019188,             0.00019188
                     14,                 1.2565,                 2.2451,                 1.2485,                0.57365,                0.22608,                 0.3308,                0.21972,                 1.4286,                 3.0504,                 1.4151,             0.00019087,             0.00019087,             0.00019087
                     15,                 1.1868,                 2.0776,                 1.1975,                0.53568,                0.21916,                0.33821,                 0.2078,                 1.4547,                 2.9639,                 1.4215,             0.00018986,             0.00018986,             0.00018986
                     16,                 1.2411,                 2.1141,                 1.2239,                0.53504,                0.26499,                0.32796,                0.19943,                 1.3681,                 3.0167,                 1.3899,             0.00018885,             0.00018885,             0.00018885
                     17,                 1.1709,                 2.1199,                  1.217,                0.62601,                0.22677,                0.32326,                0.20703,                 1.3937,                 2.9967,                 1.4026,             0.00018784,             0.00018784,             0.00018784
                     18,                 1.1866,                 2.0039,                 1.1998,                 0.5971,                0.26897,                0.35104,                0.20877,                 1.4338,                 2.8124,                 1.4308,             0.00018683,             0.00018683,             0.00018683
                     19,                 1.1619,                 1.9294,                 1.1966,                0.60206,                0.25701,                0.33707,                0.19913,                 1.4379,                  2.908,                 1.4224,             0.00018582,             0.00018582,             0.00018582
                     20,                 1.1828,                 1.9196,                 1.2147,                0.69778,                0.24777,                 0.3632,                0.22355,                 1.3729,                    2.9,                  1.372,             0.00018481,             0.00018481,             0.00018481
                     21,                 1.1272,                 1.8777,                 1.1807,                0.65396,                0.26831,                0.32817,                0.20946,                 1.3985,                 2.8771,                 1.3725,              0.0001838,              0.0001838,              0.0001838
                     22,                 1.1938,                 1.9031,                 1.2007,                0.61175,                0.25566,                0.32163,                0.22253,                 1.3923,                 2.8428,                 1.3683,             0.00018279,             0.00018279,             0.00018279
                     23,                 1.1069,                 1.8586,                 1.1822,                0.66318,                0.23941,                0.38196,                0.25301,                 1.3881,                 2.7339,                 1.3952,             0.00018178,             0.00018178,             0.00018178
                     24,                 1.1306,                 1.8725,                 1.2039,                0.64867,                0.24663,                0.37553,                0.23382,                 1.4224,                 2.9357,                 1.4061,             0.00018077,             0.00018077,             0.00018077
                     25,                 1.1441,                 1.7363,                 1.1759,                0.59465,                0.24244,                0.36542,                0.24074,                 1.4387,                 3.0076,                  1.406,             0.00017976,             0.00017976,             0.00017976
                     26,                 1.1135,                 1.7913,                 1.1744,                0.60986,                0.23791,                0.38604,                 0.2511,                 1.4038,                 2.8926,                 1.3821,             0.00017876,             0.00017876,             0.00017876
                     27,                 1.0433,                 1.6576,                 1.1504,                0.56501,                0.26234,                0.35091,                0.23105,                 1.3951,                 2.8834,                 1.3865,             0.00017775,             0.00017775,             0.00017775
                     28,                 1.1157,                 1.7376,                 1.1728,                0.56318,                0.23259,                0.33482,                0.21016,                 1.4075,                 3.0041,                 1.3931,             0.00017674,             0.00017674,             0.00017674
                     29,                 1.1005,                 1.6812,                 1.1535,                0.57275,                0.23188,                0.33968,                0.20914,                  1.409,                 2.9981,                 1.3844,             0.00017573,             0.00017573,             0.00017573
                     30,                 1.0618,                 1.6697,                 1.1657,                0.53327,                0.23113,                0.34894,                0.22807,                 1.4057,                 2.9455,                 1.3901,             0.00017472,             0.00017472,             0.00017472
                     31,                 1.0984,                 1.6783,                 1.1586,                0.58215,                0.25051,                0.35434,                0.22203,                 1.4227,                 2.9982,                 1.4056,             0.00017371,             0.00017371,             0.00017371
                     32,                 1.1242,                 1.5841,                  1.148,                0.57423,                 0.2534,                0.34111,                0.22706,                 1.4207,                 2.9503,                    1.4,              0.0001727,              0.0001727,              0.0001727
                     33,                 1.0966,                 1.5898,                 1.1566,                0.52355,                0.23903,                0.32035,                0.21477,                 1.4409,                 2.9695,                 1.4311,             0.00017169,             0.00017169,             0.00017169
                     34,                 1.1555,                 1.6194,                 1.1621,                0.43776,                0.28988,                 0.3664,                0.24177,                 1.4487,                 3.0178,                 1.4211,             0.00017068,             0.00017068,             0.00017068
                     35,                 1.0796,                 1.6018,                 1.1461,                0.33737,                0.33094,                0.42329,                0.27645,                  1.422,                 2.9275,                 1.4097,             0.00016967,             0.00016967,             0.00016967
                     36,                 1.1092,                 1.5419,                 1.1407,                0.48055,                0.24558,                 0.3777,                0.22734,                 1.4435,                 2.9306,                 1.4352,             0.00016866,             0.00016866,             0.00016866
